Date,User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
2024-09-11,3129,Eggs,Meat,173,42.4,83.7,1.5,1.5,12.7,752,125,Lunch,478
2024-12-17,1454,Apple,Fruits,66,39.2,13.8,3.2,2.6,12.2,680,97,Lunch,466
2024-06-09,1435,Chicken Breast,Meat,226,27.1,79.1,25.8,3.2,44.7,295,157,Breakfast,635
2024-08-27,8586,Banana,Fruits,116,43.4,47.1,16.1,6.5,44.1,307,13,Snack,379
2024-07-28,4138,Banana,Fruits,500,33.9,75.8,47.0,7.8,19.4,358,148,Lunch,471
2024-01-19,653,Oats,Grains,387,31.2,6.8,39.5,5.1,0.7,300,244,Dinner,727
2024-07-27,9152,Carrot,Vegetables,138,28.2,12.4,20.2,2.8,37.8,933,15,Dinner,733
2024-10-21,9613,Cookies,Snacks,69,36.8,17.8,15.0,9.6,36.4,185,228,Snack,386
2024-07-23,1407,Apple,Fruits,568,6.7,7.0,23.4,6.4,46.9,336,129,Breakfast,931
2024-09-08,6033,Quinoa,Grains,204,19.3,62.7,31.8,6.8,40.3,887,135,Snack,662
2024-01-01,3991,Oats,Grains,108,40.6,13.9,12.2,9.3,44.7,530,194,Lunch,624
2024-07-13,9353,Tomato,Vegetables,117,34.4,21.0,10.1,9.1,18.5,66,180,Dinner,799
2024-08-28,5883,Orange Juice,Beverages,147,20.1,32.7,8.9,7.0,42.4,500,250,Snack,661
2024-03-07,7128,Cookies,Snacks,468,23.7,89.2,3.1,6.3,31.3,342,225,Lunch,607
2024-08-23,5177,Beef Steak,Meat,157,27.5,32.4,9.4,0.5,24.6,180,68,Lunch,724
2024-07-02,7517,Pork Chop,Meat,385,15.8,36.5,33.1,2.1,27.6,134,88,Lunch,421
2024-07-13,5299,Oats,Grains,297,36.3,76.4,24.9,2.9,37.6,269,66,Lunch,338
2024-02-23,7543,Grapes,Fruits,274,42.4,54.5,45.2,8.2,20.3,507,76,Breakfast,463
2024-10-03,9288,Milkshake,Beverages,353,24.0,96.2,6.8,0.9,17.5,305,17,Lunch,618
2024-12-16,1060,Eggs,Meat,569,4.3,23.2,31.9,9.5,28.2,373,17,Breakfast,416
2024-08-19,2555,Pasta,Grains,217,28.1,8.3,38.9,3.7,43.2,653,176,Dinner,224
2024-01-11,7520,Oats,Grains,492,32.8,45.9,27.5,7.5,5.1,435,70,Breakfast,255
2024-07-10,6103,Orange,Fruits,222,21.1,85.0,45.1,1.7,46.8,422,260,Snack,876
2024-07-01,2458,Pasta,Grains,335,38.0,64.7,39.1,9.5,2.1,322,139,Snack,786
2024-01-18,278,Nuts,Snacks,552,25.9,27.4,39.2,1.5,47.3,338,292,Breakfast,751
2024-07-09,7083,Cheese,Dairy,252,18.0,24.9,31.0,8.2,43.6,744,110,Breakfast,244
2024-08-20,1849,Strawberry,Fruits,141,19.0,93.3,11.8,5.7,20.0,970,263,Lunch,967
2024-10-08,253,Oats,Grains,336,43.1,56.8,21.9,9.4,18.1,452,262,Lunch,791
2024-03-23,8735,Butter,Dairy,315,37.8,25.5,15.6,1.2,1.0,555,119,Breakfast,863
2024-12-09,3884,Orange Juice,Beverages,553,44.1,25.7,21.9,4.5,36.7,888,171,Dinner,455
2024-11-28,307,Quinoa,Grains,496,18.1,24.9,16.5,0.2,13.0,346,57,Breakfast,452
2024-11-25,1519,Rice,Grains,142,14.6,21.9,41.4,2.7,46.5,947,48,Lunch,868
2024-12-13,3574,Oats,Grains,71,4.0,62.8,42.7,1.7,31.2,87,109,Breakfast,248
2024-10-19,3165,Strawberry,Fruits,595,32.5,23.8,35.1,9.3,32.0,389,278,Dinner,942
2024-11-12,4467,Orange,Fruits,165,7.7,35.0,44.2,5.3,8.7,21,154,Dinner,685
2024-11-12,1753,Yogurt,Dairy,568,27.5,63.4,25.4,1.6,9.5,360,20,Snack,927
2024-11-05,8867,Butter,Dairy,437,41.2,71.7,6.0,7.8,14.8,893,8,Snack,665
2024-01-16,9258,Quinoa,Grains,195,45.0,40.9,31.6,8.8,0.8,372,184,Breakfast,823
2024-09-16,2943,Beef Steak,Meat,71,33.4,70.0,27.3,6.6,44.3,864,31,Snack,846
2024-10-24,3114,Apple,Fruits,271,13.7,89.5,33.8,8.0,3.9,509,289,Snack,728
2024-02-01,9688,Cheese,Dairy,353,34.1,87.5,47.0,3.3,17.0,172,194,Snack,786
2024-01-27,1634,Broccoli,Vegetables,219,32.6,49.5,30.3,9.4,23.5,771,138,Dinner,663
2024-12-31,5453,Water,Beverages,171,47.4,80.3,10.1,9.0,44.3,525,264,Breakfast,985
2024-01-25,8571,Beef Steak,Meat,539,43.1,35.6,15.6,0.2,33.1,496,82,Lunch,506
2024-05-11,8522,Beef Steak,Meat,86,48.7,52.9,9.3,5.9,5.2,888,216,Snack,876
2024-06-10,7636,Paneer,Dairy,173,22.1,59.4,30.1,5.2,12.4,424,10,Snack,986
2024-12-10,8202,Cheese,Dairy,359,31.6,30.8,13.3,3.1,18.3,880,236,Lunch,643
2024-06-14,7501,Salmon,Meat,508,5.3,70.4,40.3,6.1,47.2,423,230,Snack,470
2024-08-20,5428,Grapes,Fruits,294,21.6,97.9,23.5,8.1,45.5,934,4,Breakfast,624
2024-01-09,5010,Yogurt,Dairy,315,4.7,23.6,7.5,9.2,4.8,971,277,Dinner,989
2024-03-18,1798,Nuts,Snacks,191,28.8,39.6,40.3,6.5,23.9,842,282,Dinner,903
2024-01-26,4255,Apple,Fruits,485,49.2,81.2,5.8,3.7,44.1,343,123,Lunch,573
2024-03-30,7677,Milk,Dairy,282,30.3,69.7,21.5,5.4,39.9,731,263,Dinner,491
2024-05-11,3046,Salmon,Meat,281,19.6,61.0,29.7,2.7,4.1,871,289,Snack,272
2024-11-23,5419,Quinoa,Grains,233,39.6,53.4,44.6,8.7,38.4,433,247,Lunch,929
2024-07-06,7560,Beef Steak,Meat,184,19.0,39.9,1.1,0.8,39.1,762,102,Dinner,642
2024-02-05,7425,Pork Chop,Meat,449,44.3,76.2,39.8,5.5,5.1,828,231,Snack,168
2024-04-30,1589,Chicken Breast,Meat,547,20.3,33.9,44.9,7.6,28.5,587,151,Snack,232
2024-04-18,8246,Chicken Breast,Meat,285,13.9,46.2,31.8,8.8,28.8,764,103,Dinner,257
2024-10-21,3616,Banana,Fruits,244,2.6,93.3,22.2,3.6,40.0,675,268,Breakfast,831
2024-04-05,7607,Coffee,Beverages,484,29.7,70.2,37.9,8.6,32.7,569,176,Lunch,269
2024-12-31,5877,Chicken Breast,Meat,592,34.7,55.6,21.1,2.9,35.3,561,116,Snack,859
2024-09-07,1241,Orange,Fruits,57,8.4,65.5,35.9,8.4,49.3,973,67,Dinner,845
2024-01-30,5765,Eggs,Meat,434,47.5,34.2,25.5,6.0,15.9,247,11,Dinner,522
2024-07-03,7911,Broccoli,Vegetables,527,16.1,76.4,34.7,4.5,22.0,360,61,Breakfast,727
2024-09-07,890,Butter,Dairy,538,36.3,17.8,29.8,2.0,42.9,39,18,Dinner,818
2024-03-26,8398,Coffee,Beverages,276,20.7,97.9,27.3,4.7,4.8,168,142,Dinner,202
2024-11-25,353,Apple,Fruits,558,12.3,55.4,26.1,4.1,4.8,38,147,Dinner,750
2024-08-12,1387,Strawberry,Fruits,308,42.1,25.7,3.1,7.8,18.6,355,233,Snack,510
2024-11-10,745,Grapes,Fruits,56,41.9,77.4,29.2,1.2,17.0,552,30,Breakfast,937
2024-05-19,7308,Pork Chop,Meat,565,4.8,45.9,45.1,7.9,17.1,213,122,Lunch,971
2024-05-02,4135,Cheese,Dairy,91,11.1,76.6,38.8,8.6,12.7,88,35,Dinner,736
2024-01-11,4141,Spinach,Vegetables,282,12.0,54.0,6.6,2.2,29.4,198,81,Lunch,332
